Afiliações Consideradas,Nome Fantasia,Status,Natureza Jurídica,Segmento,Canal,Subcanal,Grupo 1,Grupo 2,Grupo 3,Grupo 4,Credenciado por,Força de Vendas,Carteira de Atendimento,Data de Credenciamento,Data de Ativação,Qtd. de POSs,Data da Última Transação,TPV Precificado,TPV M-3,TPV M-2,TPV M-1,TPV M-0,Receita Total M-1,Imposto Total M-1,Custo Total M-1,Lucro Bruto M-1,Receita Net MDR M-0,Receita RAV M-0,Receita Mensalidade M-0,Receita Cartão M-0,Receita Pix M-0,Receita Boleto M-0,Receita TED M-0,Receita Floating M-0,Receita Banking Outros M-0,Receita Seguro de Vida M-0,Receita Seguro de Loja M-0,Receita Seguro Vitalício M-0,Receita Total M-0,Imposto Net MDR M-0,Imposto RAV M-0,Imposto Mensalidade M-0,Imposto Cartão M-0,Imposto Pix M-0,Imposto Boleto M-0,Imposto TED M-0,Imposto Floating M-0,Imposto Banking Outros M-0,Imposto Seguro de Vida M-0,Imposto Seguro de Loja M-0,Imposto Seguro Vitalício M-0,Imposto Total M-0,Custo por Transação M-0,Custo por TPV M-0,Custo Antecipação M-0,Custo Cartão M-0,Custo Pix M-0,Custo Boleto M-0,Custo TED M-0,Custo Floating M-0,Custo Banking Outros M-0,Custo Seguro de Vida M-0,Custo Seguro de Loja M-0,Custo Seguro Vitalício M-0,Custo por Cliente M-0,Custo por POS M-0,Custo Total M-0,Lucro Bruto M-0
122619680/967539527,Profort,Credenciado,PJ,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,daniela.oppelt@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,24/03/20,30/03/20,0,07/04/25,15000.0,9367.9,12296.3,2232.8,0.0,74.43,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116820615/748510834,Santabike,Credenciado,PF,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Nova Santa Rita,patrick.goncalves@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,13/10/21,15/10/21,0,17/04/25,10000.0,21195.41,16017.52,10709.67,0.0,461.27,,,218.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249400296/994067703,Supermercado Rossi,Credenciado,PF,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,isabelita.bem@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,06/09/22,06/09/22,0,16/04/25,200000.0,0.0,0.0,5.0,0.0,238.21,,,151.14,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.07,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
605290536,Flora Aganju prod,Credenciado,PJ,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,yago.barbosa@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,27/11/24,28/11/24,1,22/04/25,30000.0,1864.36,2410.71,752.2,0.0,312.94,,,192.22,0.0,0.0,0.0,33.23,0.0,0.0,0.0,51.29,26.0,0.0,0.0,0.0,110.52,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,71.64
110275343/542159202/755083217,FRUTEIRA DA JU,Cancelado,PJ,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,rafael.fagundes@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,03/09/24,03/09/24,0,25/04/25,35000.0,33795.72,34676.91,30763.77,0.0,130.65,,,4.95,0.0,0.0,0.0,0.0,0.0,3.73,0.0,27.76,0.0,0.0,0.0,0.0,31.49,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.17
154412375/656157606,Concordia Mercado e Padaria,Credenciado,PF,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Igara,yago.barbosa@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,03/02/25,05/02/25,0,24/04/25,30000.0,22769.52,33857.05,22949.14,0.0,268.62,,,68.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195866424/173904722,GEDALLAB LABORATORIO DE MICROBIOLOGIA CLINICA LTDA,Credenciado,PJ,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Marechal Rondon,roxanne.barbosa@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,21/11/24,22/11/24,0,08/04/25,30000.0,8476.54,0.0,1483.0,0.0,40.63,,,,0.0,23.62,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,23.89,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,8.39
206743716/488600118/723343913/374941565,CENTRAL SURDINAS,Credenciado,PJ,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,jerson.junior@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,05/09/24,06/09/24,1,19/04/25,30000.0,210.0,2159.0,2341.0,0.0,183.41,,,43.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
179575836/649651057,Trevo ,Credenciado,PJ,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,sarah.gamarra@stone.com.br,ESPECIALISTA,ATENDIMENTO ESPECIALISTA,29/07/22,01/08/22,4,22/04/25,200000.0,57435.35,0.0,434.83,0.0,373.33,,,215.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
367222872/148009861,GREFF CAR SERVICO AUTO,Credenciado,PJ,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,jerson.junior@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,15/05/23,16/05/23,1,23/04/25,15000.0,4271.02,567.0,5914.38,0.0,700.94,,,205.4,0.0,0.0,0.0,7.47,0.0,0.92,0.0,5.34,0.0,0.0,0.0,0.0,13.73,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
160349814,Rottacar,Credenciado,MEI,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Fatima,mauricio.oliveira@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,06/03/20,12/03/20,1,25/04/25,10000.0,21255.84,18630.16,21193.53,0.0,2350.38,,,1328.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
302623185/105753801,DONNA ESTETICA,Cancelado,PJ,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Centro,celice.guimaraes@stone.com.br,INBOUND,ATENDIMENTO AGENTE,05/09/23,14/09/23,0,12/04/25,20000.0,22508.01,29038.1,7550.5,0.0,250.34,,,116.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136816132/188763003,Delivery,Credenciado,PJ,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,harmonia,nicole.rodrigues@stone.com.br,INBOUND,ATENDIMENTO AGENTE,01/04/25,04/04/25,2,04/04/25,30000.0,0.0,0.0,23.0,0.0,6.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
196213985/677114370,Bebidas do Bosque,Credenciado,PJ,Viagens e entretenimento,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,carlos.dorneles@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,13/11/24,14/11/24,2,28/04/25,30000.0,27674.15,2111.5,271.5,0.0,164.54,,,59.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
128569715,Filhos de Patas II,Credenciado,PF,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,carlos.dorneles@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,18/10/24,21/10/24,0,14/04/25,15000.0,6602.75,27982.7,11090.72,0.0,467.08,,,191.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184890269/195255020,VITTA CLIN,Credenciado,PJ,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Centro,tiago.goncalves@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,26/04/23,28/04/23,2,25/04/25,66000.0,59270.0,60936.14,56065.0,0.0,1751.28,,,1196.24,0.0,454.51,0.0,0.0,0.0,8.04,0.0,338.35,0.0,0.0,0.0,0.0,800.9,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,495.21
995521090/913806271,GRAN FIESTA,Credenciado,PJ,Viagens e entretenimento,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,rafael.fagundes@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,03/10/24,13/11/24,1,17/04/25,15000.0,0.0,5000.0,5918.41,0.0,428.63,,,131.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
341326339,QUIOSQUE DO PAULO,Credenciado,PJ,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Nova Santa Rita,luiz.vasconcelos@stone.com.br,INBOUND,ATENDIMENTO AGENTE,22/07/19,23/07/19,0,02/04/25,12000.0,7268.25,5819.96,166.7,0.0,160.35,,,41.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210153420/527016292/348146076,SERPRI SALGADOS,Cancelado,MEI,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Igara,alessandra.dias@stone.com.br,INBOUND,ATENDIMENTO AGENTE,26/09/22,27/09/22,0,28/04/25,15000.0,14935.79,17311.24,13974.05,0.0,1229.88,,,700.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
155656966/192239743,Max Canoas,Credenciado,PJ,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Centro,tiago.goncalves@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,12/07/22,14/07/22,0,09/04/25,10000.0,3767.76,0.0,1161.0,0.0,135.45,,,48.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141281423/850667442,Beer House Bebidas,Credenciado,PJ,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,harmonia,isabel.lara@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,15/04/25,15/04/25,0,20/04/25,10000.0,0.0,0.0,270.92,0.0,3.04,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128890849,NA BRASA TELE CHURRASCO,Cancelado,MEI,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,valeska.oliveira@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,03/10/24,10/10/24,0,05/04/25,15000.0,2373.52,1403.02,119.0,0.0,160.77,,,86.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
964633737/642264151,NSV AUTO CENTER,Credenciado,PJ,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Marechal Rondon,isabel.lara@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,22/04/24,22/04/24,2,21/04/25,50000.0,53253.41,41979.65,13654.16,0.0,1088.41,,,462.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11,0.0,0.0,0.0,0.0,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
175709756/198230428,Espetinho da Rotula ,Credenciado,PJ,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,rafael.fagundes@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,08/10/24,23/10/24,1,22/04/25,30000.0,0.0,0.0,2264.5,0.0,105.43,,,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
201235101/257870414,ARENA BOLEIROS,Credenciado,PJ,Viagens e entretenimento,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Igara,jerson.junior@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,06/08/24,07/08/24,1,27/04/25,30000.0,7065.0,0.0,7524.0,0.0,212.67,,,90.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
182526483/251331733,AgroMeyer,Cancelado,PJ,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Nova Santa Rita,rogerio.schirmer@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,29/06/21,30/06/21,0,24/04/25,93000.0,2923.74,415.7,855.95,0.0,324.05,,,234.79,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,5.22,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.99
185558682/706437275/362515791,Guris M,Credenciado,PJ,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Centro,gabrielle.rodrigues@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,04/03/23,24/03/23,3,19/04/25,10000.0,1153.3,774.8,767.1,0.0,257.02,,,125.09,0.0,0.0,0.0,0.0,7.32,0.0,0.0,0.97,0.0,0.0,0.0,0.0,8.29,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
